Customer ID,Customer Name,Customer Email,Age Group,Total Purchases,Amount Spent,Customer Since
CID0001,Aamir Abbas,aamir.abbas@gmail.com,36 to 45,38,5423.18,2017
CID0002,Abigail Wrightson,abigail.wrightson@gmail.com,18 to 25,54,8292.73,2019
CID0003,Abigail Youngblood,abigail.youngblood@gmail.com,18 to 25,90,8270.97,2014
CID0004,Adam Lewis,adam.lewis@gmail.com,66 to 70,22,4891.91,2019
CID0005,Addie Smith,addie.smith@gmail.com,56 to 65,27,1276.33,2017
CID0006,Adrian Green,adrian.green@gmail.com,18 to 25,33,5163,2014
CID0007,Agnita Williams,agnita.williams@gmail.com,26 to 35,71,4552.67,2017
CID0008,Aiden Brownfield,aiden.brownfield@gmail.com,36 to 45,15,1362.9,2018
CID0009,Aiden Clarkston,aiden.clarkston@gmail.com,46 to 55,30,1493.74,2021
CID0010,Aiden Davidson,aiden.davidson@gmail.com,46 to 55,29,9293.06,2022
CID0011,Aiden Greenway,aiden.greenway@gmail.com,66 to 70,78,6731.9,2023
CID0012,Aiden Harrington,aiden.harrington@gmail.com,56 to 65,12,3473.45,2017
CID0013,Aiden Johnsonson,aiden.johnsonson@gmail.com,26 to 35,82,141.93,2021
CID0014,Aiden Lewisburg,aiden.lewisburg@gmail.com,18 to 25,99,2020.54,2020
CID0015,Aiden Martinezson,aiden.martinezson@gmail.com,36 to 45,25,620.27,2020
CID0016,Aiden Miller,aiden.miller@gmail.com,56 to 65,81,1346.3,2012
CID0017,Aiden Scottman,aiden.scottman@gmail.com,18 to 25,38,2197.21,2023
CID0018,Aiden Walkerfield,aiden.walkerfield@gmail.com,56 to 65,24,8645.22,2019
CID0019,Aiden Whitehouse,aiden.whitehouse@gmail.com,66 to 70,84,1266.02,2019
CID0020,Aiden Youngs,aiden.youngs@gmail.com,36 to 45,57,5613.42,2020
CID0021,Aimee Johnson,aimee.johnson@gmail.com,36 to 45,47,3553.52,2020
CID0022,Alana Brown,alana.brown@gmail.com,46 to 55,49,7135.55,2012
